"normalized_storage","normalized_low_unretained_volume","normalized_low_cost"
0.172090939848509,1,1
0.787556984378863,1,0.272727272727273
0.17582981502895,1,0.995454545454545
0.177522072989534,1,0.990909090909091
0.796920805576145,1,0.245454545454546
0.183577085732559,1,0.986363636363636
0.808269342982801,1,0.231818181818182
0.187525671950937,1,0.981818181818182
0.819572812066835,1,0.218181818181819
0.19147343043378,1,0.977272727272727
0.830615287617643,1,0.204545454545455
0.195172421058118,1,0.972727272727273
0.84220645213015,1,0.190909090909091
0.199033371719509,1,0.968181818181818
0.85305947435089,1,0.177272727272728
0.202893195191372,1,0.963636363636364
0.862775537307916,1,0.163636363636364
0.206754145852763,1,0.959090909090909
0.874340837416933,1,0.150000000000001
0.211046518959719,1,0.954545454545455
0.885740249063831,1,0.136363636363637
0.21447556214134,1,0.95
0.897334514386846,1,0.122727272727273
0.245827480358895,1,0.945454545454545
0.908909237171493,1,0.10909090909091
0.249572563856146,1,0.940909090909091
0.920498050320524,1,0.0954545454545465
0.253313381216684,1,0.936363636363636
0.931795023757084,1,0.0818181818181819
0.25709904574567,1,0.931818181818182
0.942980660262974,1,0.0681818181818195
0.260862383536897,1,0.927272727272727
0.954507196351318,1,0.0545454545454551
0.264600833780702,1,0.922727272727273
0.965690828224608,1,0.0409090909090918
0.268339284024507,1,0.918181818181818
0.976899650602102,1,0.0272727272727276
0.272061740874068,1,0.913636363636364
0.988204940212043,1,0.0136363636363645
0.275815882817097,1,0.909090909090909
1,1,6.02380858974055e-16
0.541194302007849,0.699233385579461,0.272727272727274
0.732735610000865,1,0.272727272727273
0.258556484402348,1,0.93006915863688
0.243825703575883,1,0.947877057108351
0.896506544580558,1,0.123700837308372
0.985738679203209,1,0.0164951555515553
0.858862874483858,1,0.170772892740471
0.9012514943352,1,0.118118219225753
0.841561830863574,1,0.191667452158238
0.815840604845024,1,0.222678721374409
0.837066788971276,1,0.196955620205369
0.848712359094483,1,0.182091663845561
0.267713863355848,1,0.918942245908759
0.205869232052553,1,0.960132708328522
0.802770663967448,1,0.238460824105212
0.245319145700751,1,0.946067234670574
0.856894502070771,1,0.172981296263805
0.943901468310796,1,0.0670590636489744
0.25038227687073,1,0.939924588384615
0.193373168479491,1,0.975017713001844
0.214856300930879,1,0.949551760430702
0.254902208383616,1,0.934454532551833
0.87265503084308,1,0.151992395160382
0.265887270459438,1,0.92116313810799
0.963864264729868,1,0.0431362461214044
0.887128135229837,1,0.134728397856551
0.208027368847255,1,0.957591957730156
0.789497285395013,1,0.254306691275402
0.193263113144139,1,0.97514727993191
0.868801766688272,1,0.156538060760465
0.809758691640143,1,0.230018984166567
0.957725198943994,1,0.0506216975733299
0.83007031975432,1,0.20518657908013
0.93564634712696,1,0.0771246519659397
0.869613557955394,1,0.155581896426157
0.916855833160365,1,0.0997360187625011
0.275682224586982,1,0.909253419588574
0.977627716705173,1,0.0263849857728936
0.973446843051037,1,0.0314773755486725
0.197869304163453,1,0.9695522620512
0.203412268813462,1,0.963025263997472
0.176392144267195,1,0.992061697115952
0.273972166823684,1,0.911313541678035
0.197732994091773,1,0.969712738392197
0.186112325979914,1,0.983440730318596
0.248172969162957,1,0.942610810510814
0.264500746852648,1,0.922848965020173
0.799945392981752,1,0.241844783896919
0.845263869639446,1,0.186741576191377
0.269196345833776,1,0.917139745867727
0.928627959266259,1,0.0857044047549035
0.258388495119098,1,0.9302707569335
0.270403739054208,1,0.915652271677655
0.21301281759386,1,0.952433055922897
0.20229421361485,1,0.964341538026929
0.214369964259374,1,0.950124319219454
0.261999150064664,1,0.925890571501275
0.908871048886027,1,0.109135927251456
0.212705164240309,1,0.952763568546454
0.251236278548469,1,0.938886236780408
0.941527304232962,1,0.0699539161498922
0.198960469950734,1,0.968267644628544
0.21131156787153,1,0.954260711960325
0.990893904171383,1,0.0103576710997999
0.950007788166959,1,0.0600316478362825
0.250471426244341,1,0.939816194692288
0.886671363842393,1,0.135265994139694
0.262938370569152,1,0.924748605223034
0.260050813099857,1,0.928259488174015
0.197606855486646,1,0.969861239978028
0.191081454295325,1,0.977733149976385
0.99626011631453,1,0.00381457124074872
0.810092630620777,1,0.229615571421826
0.896439768165528,1,0.123779356056317
0.255501366102102,1,0.933735503497618
0.828879916446189,1,0.206587022699585
0.212696017892562,1,0.952773394486444
0.206647655901917,1,0.959216278533197
0.207147165680041,1,0.958628211191601
