"scenario","rate_mt","L_mid","L_top","f1","f2","f3"
3,0.94,2,1,371733860.958431,40446229.6647562,4058685000
1,0.95,2,1,167137360.456191,9836842.36962175,1367287500
3,0.95,2,1,375467466.975796,40893288.4882855,4101862500
1,0.96,2,1,168306459.652633,10004489.4284453,1381680000
3,0.96,2,1,379449892.008276,41309275.3539025,4145040000
1,0.97,2,1,169377284.448145,10172136.4872688,1396072500
3,0.97,2,1,383182034.865419,41756334.1774319,4188217500
1,0.98,2,1,170494931.506968,10339783.5460923,1410465000
3,0.98,2,1,386932564.00629,42203393.0009614,4231395000
1,0.99,2,1,171600905.155764,10507430.6049159,1424857500
3,0.99,2,1,390753513.542408,42640851.1024394,4274572500
1,1,2,1,172730005.420597,10675077.6637394,1439250000
3,1,2,1,394931931.195331,43055655.8013972,4317750000
1,0.8,3,1,201303979.070022,1750.99690860137,1151400000
3,0.8,3,1,529661917.384334,6652243.48598896,3454200000
1,0.81,3,1,203696390.494407,1.11758708953857e-08,1165792500
3,0.81,3,1,526235806.53178,7530258.09821749,3497377500
1,0.82,3,1,206268299.930229,19649.4437936693,1180185000
3,0.82,3,1,532664539.089842,7633081.62762934,3540555000
1,0.83,3,1,208726624.982878,2.23517417907715e-08,1194577500
3,0.83,3,1,539031750.64147,7735905.15704107,3583732500
1,0.84,3,1,211241330.865231,7.45058059692383e-09,1208970000
3,0.84,3,1,545366067.299045,7838728.68645279,3626910000
1,0.85,3,1,213754177.110299,0,1223362500
3,0.85,3,1,551509887.525321,7962970.15655436,3670087500
1,0.86,3,1,216162123.273267,10675.9719384611,1237755000
3,0.86,3,1,558054190.046329,8045676.03890736,3713265000
1,0.87,3,1,218676829.15562,10675.9719384462,1252147500
3,0.87,3,1,564059730.28218,8189831.80654125,3756442500
1,0.88,3,1,221190712.314208,10675.9719384611,1266540000
3,0.88,3,1,569235415.925113,8401331.98872191,3799620000
1,0.89,3,1,223705418.196561,10675.9719384611,1280932500
3,0.89,3,1,575760840.2904,8486273.1651926,3842797500
1,0.9,3,1,226255391.229386,23145.9559673965,1295325000
3,0.9,3,1,582165184.414208,8571214.34166314,3885975000
1,0.91,3,1,228734475.93991,10675.9719384313,1309717500
3,0.91,3,1,588711750.184151,8656155.51813368,3929152500
1,0.92,3,1,231256013.690456,10675.9719384499,1324110000
3,0.92,3,1,595244052.061146,8741096.69460431,3972330000
1,0.93,3,1,233775561.114643,10675.9719384499,1338502500
3,0.93,3,1,601786638.346716,8826037.8710749,4015507500
1,0.94,3,1,236291994.73057,10675.9719384648,1352895000
3,0.94,3,1,608116213.899607,8928582.60593273,4058685000
1,0.95,3,1,238841161.822448,10675.9719384797,1367287500
3,0.95,3,1,614364525.799326,9040347.31181489,4101862500
1,0.96,3,1,241374032.863566,10675.9719384722,1381680000
3,0.96,3,1,620861656.714159,9121040.05978484,4145040000
1,0.97,3,1,243888738.745918,10675.9719384946,1396072500
3,0.97,3,1,627108505.453654,9232804.76566723,4188217500
1,0.98,3,1,246403444.628271,10675.9719384834,1410465000
3,0.98,3,1,633373740.476878,9344569.47154966,4231395000
1,0.99,3,1,248906477.100597,10675.9719384871,1424857500
3,0.99,3,1,639709395.895349,9446733.45538063,4274572500
1,1,3,1,251432636.188959,10675.971938435,1439250000
3,1,3,1,646402519.430625,9526244.03669129,4317750000
1,0.8,4,1,188375430.16955,2262951.72401818,1151400000
3,0.8,4,1,560576596.724718,5151878.54584867,3454200000
1,0.81,4,1,190011577.379082,2388575.2951313,1165792500
3,0.81,4,1,555143683.818323,6342581.56672907,3497377500
1,0.82,4,1,191719705.302298,2553518.85657203,1180185000
3,0.82,4,1,559118676.648955,6825405.09614085,3540555000
1,0.83,4,1,193285505.479984,2679163.53042542,1194577500
3,0.83,4,1,563276140.301423,7308228.62555261,3583732500
1,0.84,4,1,194823068.505194,2824457.64807248,1208970000
3,0.84,4,1,567382322.77611,7791052.15496431,3626910000
1,0.85,4,1,196358771.893119,2969751.76571952,1223362500
3,0.85,4,1,571310333.798594,8296159.52572753,3670087500
1,0.86,4,1,197789575.198944,3125721.85530505,1237755000
3,0.86,4,1,575477029.206322,8773953.64337468,3713265000
1,0.87,4,1,199327138.224155,3271015.9729521,1252147500
3,0.87,4,1,578887339.459463,9305637.36454503,3756442500
