"seed","method","evaluation","phase","scenario","rate_mt","L_mid","L_top","f1_retained_integral_m3yr","f2_unretained_final_m3","f3_total_cost_eur"
1,"EHVI",56,"sequential",1,0.966753948433325,2,3,169011490.08434,10117717.3874745,1391400620.28266
1,"EHVI",57,"sequential",3,0.830365474289283,8,7,356136887.29555,49040124.9933659,3585310526.61255
1,"EHVI",58,"sequential",1,0.859278532909229,6,3,148066631.44863,9202722.11662152,1236716628.48961
1,"EHVI",59,"sequential",3,0.904495918052271,8,4,436830147.078017,34589252.1828138,3905387250.17019
1,"EHVI",60,"sequential",3,0.831045100418851,4,3,563703016.963825,7358688.5328345,3588244982.33349
1,"EHVI",61,"sequential",1,0.880334552098066,8,3,157848405.80986,8776847.59446637,1267021504.10714
1,"EHVI",62,"sequential",3,0.872498346306384,8,3,408770376.55659,30755861.9384058,3767229734.76439
1,"EHVI",63,"sequential",3,0.86355363894254,8,1,404703505.742066,30422696.4736924,3728608724.54415
1,"EHVI",64,"sequential",3,0.932716796267778,8,8,342180419.009529,64697480.0488954,4027237947.08519
1,"EHVI",65,"sequential",1,0.807047096313909,2,5,144466478.160209,8101975.48830057,1161542533.36979
1,"EHVI",66,"sequential",3,0.819014161312953,6,8,328204165.974705,48099318.0005586,3536298395.009
1,"EHVI",67,"sequential",3,0.996098635718226,7,6,336496093.153152,72255603.663152,4300904884.37237
1,"EHVI",68,"sequential",3,0.932468207040802,2,3,368912233.952832,40112113.5834248,4026164600.95042
1,"EHVI",69,"sequential",3,0.954950817348436,1,3,617707508.685918,9064608.01838492,4123238891.60621
