"seed","method","evaluation","hypervolume","IGD_plus","pareto_size"
1,"TS",1,0.242893438163528,0.494686665636121,1
1,"TS",2,0.413180620966765,0.199335844462427,2
1,"TS",3,0.413180620966765,0.199335844462427,2
1,"TS",4,0.414625999396247,0.199335844462427,3
1,"TS",5,0.414625999396247,0.199335844462427,3
1,"TS",6,0.414625999396247,0.199335844462427,3
1,"TS",7,0.414625999396247,0.199335844462427,3
1,"TS",8,0.414625999396247,0.199335844462427,3
1,"TS",9,0.414625999396247,0.199335844462427,3
1,"TS",10,0.414625999396247,0.199335844462427,3
1,"TS",11,0.414625999396247,0.199335844462427,3
1,"TS",12,0.414625999396247,0.199335844462427,3
1,"TS",13,0.424071080972681,0.199335844462427,4
1,"TS",14,0.424071080972681,0.199335844462427,4
1,"TS",15,0.424906635619912,0.199335844462427,5
1,"TS",16,0.424906635619912,0.199335844462427,5
1,"TS",17,0.424906635619912,0.199335844462427,5
1,"TS",18,0.424906635619912,0.199335844462427,5
1,"TS",19,0.424906635619912,0.199335844462427,5
1,"TS",20,0.424906635619912,0.199335844462427,5
1,"TS",21,0.424906635619912,0.199335844462427,5
1,"TS",22,0.424906635619912,0.199335844462427,5
1,"TS",23,0.473293033316235,0.175710899807794,6
1,"TS",24,0.474772779384895,0.172724529071813,6
1,"TS",25,0.506716272293337,0.127809483118394,7
1,"TS",26,0.566163348518621,0.0819060471900112,5
1,"TS",27,0.566163348518621,0.0819060471900112,5
1,"TS",28,0.566163348518621,0.0819060471900112,5
1,"TS",29,0.566163348518621,0.0819060471900112,5
1,"TS",30,0.566163348518621,0.0819060471900112,5
1,"TS",31,0.566163348518621,0.0819060471900112,5
1,"TS",32,0.566163348518621,0.0819060471900112,5
1,"TS",33,0.566632846071686,0.0816400866544293,6
1,"TS",34,0.56733758879661,0.0816400866544293,7
1,"TS",35,0.567343635223737,0.0816400866544293,8
1,"TS",36,0.567345340315001,0.0816400866544293,9
1,"TS",37,0.567508819014346,0.0816323804056323,10
1,"TS",38,0.567511830694693,0.0816323804056323,11
1,"TS",39,0.567512150960635,0.0816323804056323,12
1,"TS",40,0.567512150960635,0.0816323804056323,12
1,"TS",41,0.567512213814187,0.0816323804056323,13
1,"TS",42,0.567515891551109,0.0816096011590644,14
1,"TS",43,0.56751591507161,0.0816096011590644,15
1,"TS",44,0.567516981148066,0.0815889281769514,16
1,"TS",45,0.567516981148066,0.0815889281769514,16
1,"TS",46,0.567516981148066,0.0815889281769514,16
1,"TS",47,0.567516981148066,0.0815889281769514,16
1,"TS",48,0.567519786058329,0.0815889281769514,17
1,"TS",49,0.567519786058329,0.0815889281769514,17
