"method","grid_only_mean","grid_only_sd","union_mean","union_sd","mean_difference_union_minus_grid"
"EHVI",0.0577140293947398,0.0199125550215197,0.0581778200711166,0.0209678816397893,0.000463790676376817
"EPI",0.0622534732361227,0.0140517268029525,0.0610202569674828,0.0142381188521759,-0.00123321626863993
"SCAL",0.0503073846505979,0.0261076355367246,0.051032198048491,0.0266694273193885,0.00072481339789308
"TS",0.0651438157050226,0.0125978964588471,0.0657825404418504,0.013169796321256,0.000638724736827813
