"sensitivity_family","parameter","parameter_value","n_seeds","HV_mean","HV_sd","HV_ci_low_95","HV_ci_high_95","IGDplus_mean","IGDplus_sd","IGDplus_ci_low_95","IGDplus_ci_high_95"
"SCAL_UCB_kappa","ucb_k",0.5,5,0.606080056331689,0.0141722919816461,0.588482831606047,0.623677281057331,0.0636165334520122,0.0305514834671711,0.0256818563391083,0.101551210564916
"SCAL_UCB_kappa","ucb_k",1,5,0.606335851275967,0.0113800902602338,0.592205602903525,0.620466099648408,0.0539004006639707,0.00906076922922362,0.0426499697160112,0.0651508316119301
"SCAL_UCB_kappa","ucb_k",2,5,0.6250829457306,0.0444192625326891,0.569929146616999,0.680236744844202,0.0438338908169943,0.0255676443106455,0.0120874673575864,0.0755803142764022
"SCAL_UCB_kappa","ucb_k",4,5,0.631484701322586,0.0481733155630261,0.571669629713867,0.691299772931304,0.04377517840166,0.021958688475826,0.016509865473455,0.071040491329865
"EHVI_MC_samples","mc_samp",10,5,0.592871156540959,0.0335831306646575,0.551172192247681,0.634570120834237,0.0663916788127727,0.0169565988332879,0.0453372805094952,0.0874460771160502
"EHVI_MC_samples","mc_samp",20,5,0.592871049998865,0.0335854949249379,0.551169150088715,0.634572949909016,0.0663921045777412,0.0169562688749219,0.0453381159718876,0.0874460931835948
"EHVI_MC_samples","mc_samp",40,5,0.592871175991458,0.0335854506428137,0.551169331064827,0.63457302091809,0.0663921045777412,0.0169562688749219,0.0453381159718876,0.0874460931835948
