"method","mean.final_hypervolume","sd.final_hypervolume","ci_low_95.final_hypervolume","ci_high_95.final_hypervolume","mean.final_IGD_plus","sd.final_IGD_plus","ci_low_95.final_IGD_plus","ci_high_95.final_IGD_plus","mean.final_pareto_size","sd.final_pareto_size","ci_low_95.final_pareto_size","ci_high_95.final_pareto_size","mean.spacing_sd","sd.spacing_sd","ci_low_95.spacing_sd","ci_high_95.spacing_sd","mean.objective_extent","sd.objective_extent","ci_low_95.objective_extent","ci_high_95.objective_extent"
"TS",0.591677352127146,0.027737023093272,0.571835481106306,0.611519223147985,0.0651438157050226,0.0125978964588471,0.056131823472483,0.0741558079375623,27.4,13.0741475184172,18.0473182830211,36.7526817169789,0.0918867418588001,0.0485670342298744,0.0571439785199458,0.126629505197654,2.06618599689629,0.289852663338545,1.85883789246307,2.2735341013295
"SCAL",0.616242958388377,0.0421842456150857,0.586066166964463,0.646419749812291,0.0503073846505979,0.0261076355367246,0.0316311072708368,0.068983662030359,35.5,10.7522607441929,27.8082960218443,43.1917039781557,0.0581814446487543,0.0302307790364504,0.0365556480921564,0.0798072412053523,2.08157781588816,0.217814671398574,1.92576258648146,2.23739304529486
"EHVI",0.607476532233719,0.0374359497528784,0.580696467046426,0.634256597421011,0.0577140293947398,0.0199125550215197,0.0434694456445749,0.0719586131449048,25.4,10.7310556589534,17.7234652260121,33.0765347739879,0.04993339861796,0.0323018843628536,0.0268260225631268,0.0730407746727931,2.01289234508406,0.220439577664048,1.85519937085283,2.17058531931529
"EPI",0.606786694102474,0.0324513667976744,0.583572384755571,0.630001003449378,0.0622534732361227,0.0140517268029525,0.0522014734268175,0.0723054730454279,14.9,3.84274207652123,12.1510679176965,17.6489320823035,0.0775266639052901,0.0375977641748939,0.0506308436537233,0.104422484156857,2.10385210247518,0.150701487331574,1.99604675277249,2.21165745217787
