"cost_scenario","seed","method","final_hypervolume","final_IGD_plus","pareto_size","minimum_cost_eur","maximum_storage_m3yr","minimum_unretained_m3"
"transport_high_JRC_30",3,"EHVI",0.627853909031785,0.0539482689670367,23,1311657220.90343,778442761.85845,0
"transport_high_JRC_30",3,"EPI",0.587924900548248,0.0568064217999543,14,1316711812.18402,723179514.294899,0
"transport_high_JRC_30",4,"TS",0.590680088510506,0.0585821433926008,27,1321298040.11184,712680498.078651,0
"transport_high_JRC_30",4,"SCAL",0.687263909579833,0.0113642944265491,18,1313957584.72203,803412879.036328,0
"transport_high_JRC_30",4,"EHVI",0.625340503821786,0.0347392622010078,29,1313693933.82291,817983513.908264,0
"transport_high_JRC_30",4,"EPI",0.614191247572563,0.045589290127295,15,1314237946.19087,718170293.177989,0
"transport_high_JRC_30",5,"TS",0.598279392071556,0.0489590976890641,14,1311914092.62945,765074456.51798,0
"transport_high_JRC_30",5,"SCAL",0.640022701526467,0.0283087987671844,30,1315651021.42934,813502674.443543,0
"transport_high_JRC_30",5,"EHVI",0.586631802468718,0.0563476488646628,33,1312031575.6069,748083777.399606,0
"transport_high_JRC_30",5,"EPI",0.586107672799724,0.0548482956982173,14,1311159877.36214,783672554.765925,0
"transport_high_JRC_30",6,"TS",0.578949937940012,0.0617472683961109,34,1320217730.26523,723619608.200371,0
"transport_high_JRC_30",6,"SCAL",0.605421561477063,0.046297176225691,38,1317814807.61612,772796339.167385,0
"transport_high_JRC_30",6,"EHVI",0.589047569662447,0.0575434222935372,20,1313879166.63702,732815260.93984,0
"transport_high_JRC_30",6,"EPI",0.639594523180097,0.0464756332840782,18,1311015516.77228,828029312.557895,0
"transport_high_JRC_30",7,"TS",0.573850357564981,0.0568849977174813,37,1314054408.07465,740610689.750965,0
"transport_high_JRC_30",7,"SCAL",0.564116103419747,0.0757597926174395,43,1313811998.20811,728113406.525632,0
"transport_high_JRC_30",7,"EHVI",0.619196173945967,0.0386167333377662,19,1314488726.07015,785917783.908935,0
"transport_high_JRC_30",7,"EPI",0.538807352941225,0.0835064133273695,22,1313450770.2401,740243951.92395,0
"transport_high_JRC_30",8,"TS",0.598355085401847,0.051814969169793,12,1313768222.60802,746111428.025916,0
"transport_high_JRC_30",8,"SCAL",0.594707442809904,0.0512526533245969,34,1319519262.30162,736519454.445691,0
"transport_high_JRC_30",8,"EHVI",0.656533047244414,0.0352630088261038,16,1314068630.77782,761283469.248137,0
"transport_high_JRC_30",8,"EPI",0.634864801034799,0.040552619786358,10,1327714241.70543,723257969.870908,0
"transport_high_JRC_30",9,"TS",0.661878872928063,0.0296364252161296,26,1312798138.5584,744892268.679059,0
"transport_high_JRC_30",9,"SCAL",0.680247337787129,0.0112962804144222,30,1319105401.02201,837712163.079185,0
"transport_high_JRC_30",9,"EHVI",0.669366392241028,0.0199579691848545,16,1339249010.56947,841628904.809238,0
"transport_high_JRC_30",9,"EPI",0.610779057808428,0.0521756190597914,19,1311930087.25648,742991659.843336,0
"transport_high_JRC_30",10,"TS",0.608696461984383,0.0435045203583454,12,1315730712.67444,742223653.818252,0
"transport_high_JRC_30",10,"SCAL",0.599108519436003,0.0507206600679192,54,1313922245.21935,762259289.018862,0
"transport_high_JRC_30",10,"EHVI",0.583208418177494,0.056552410589408,38,1312261663.04795,742223653.818252,0
"transport_high_JRC_30",10,"EPI",0.591730253991365,0.0529270336624519,11,1315730712.67444,742223653.818252,0
"storage_low_JRC_5",1,"TS",0.58084935178065,0.0630340042729551,46,993590910.103102,686520641.993336,0
"storage_low_JRC_5",1,"SCAL",0.564951198580663,0.0683516993220564,48,982791342.721624,752581342.547672,0
"storage_low_JRC_5",1,"EHVI",0.546198993054544,0.0716999636469693,14,980894802.06049,708449379.008347,0
"storage_low_JRC_5",1,"EPI",0.643142852446114,0.0405320290972818,15,982171649.418887,746156639.392763,0
"storage_low_JRC_5",2,"TS",0.5632406169979,0.064461468935245,46,980639367.053309,710722176.985894,0
"storage_low_JRC_5",2,"SCAL",0.609649908472565,0.0458874128944785,35,982357959.707757,781940501.422216,0
"storage_low_JRC_5",2,"EHVI",0.58465916722922,0.0597765472649137,46,982952600.175748,745218692.654919,0
"storage_low_JRC_5",2,"EPI",0.633596670653868,0.0395242083034084,11,982952600.175748,730113362.114074,0
"storage_low_JRC_5",3,"TS",0.574274337807927,0.0568186080025421,20,982261114.396364,768819823.336136,0
"storage_low_JRC_5",3,"SCAL",0.630579341378084,0.0319124533921022,25,984902763.190284,833949418.666173,0
"storage_low_JRC_5",3,"EHVI",0.627853909031785,0.0539482689670367,23,980891486.936482,778442761.85845,0
"storage_low_JRC_5",3,"EPI",0.587924900548248,0.0568064217999543,14,984671442.155005,723179514.294899,0
"storage_low_JRC_5",4,"TS",0.590680088510506,0.0585821433926008,27,988101143.040159,712680498.078651,0
"storage_low_JRC_5",4,"SCAL",0.687263909579833,0.0113642944265491,18,982611759.009515,803412879.036328,0
"storage_low_JRC_5",4,"EHVI",0.625340503821786,0.0347392622010078,29,982414593.989309,817983513.908264,0
"storage_low_JRC_5",4,"EPI",0.614191247572563,0.045589290127295,15,982821420.629695,718170293.177989,0
"storage_low_JRC_5",5,"TS",0.598279392071556,0.0489590976890641,14,981083582.314197,765074456.51798,0
"storage_low_JRC_5",5,"SCAL",0.640022701526467,0.0283087987671844,30,983878155.155852,813502674.443543,0
"storage_low_JRC_5",5,"EHVI",0.586631802468718,0.0563476488646628,33,981171439.14951,748083777.399606,0
"storage_low_JRC_5",5,"EPI",0.586107672799724,0.0548482956982173,14,980519560.46212,783672554.765925,0
"storage_low_JRC_5",6,"TS",0.578949937940012,0.0617472683961109,34,987293259.154866,723619608.200371,0
"storage_low_JRC_5",6,"SCAL",0.605421561477063,0.046297176225691,38,985496290.912922,772796339.167385,0
"storage_low_JRC_5",6,"EHVI",0.589047569662447,0.0575434222935371,20,982553115.919861,732815260.93984,0
"storage_low_JRC_5",6,"EPI",0.639594523180097,0.0464756332840782,18,980411603.847099,828029312.557895,0
"storage_low_JRC_5",7,"TS",0.573850357564981,0.0568849977174813,37,982684166.038432,740610689.750965,0
"storage_low_JRC_5",7,"SCAL",0.564116103419747,0.0757597926174395,43,982502885.616501,728113406.525632,0
"storage_low_JRC_5",7,"EHVI",0.619196173945967,0.0386167333377662,19,983008960.365504,785917783.908935,0
"storage_low_JRC_5",7,"EPI",0.538807352941225,0.0835064133273694,22,982232749.918685,740243951.92395,0
"storage_low_JRC_5",8,"TS",0.598355085401847,0.051814969169793,12,982470149.080781,746111428.025916,0
"storage_low_JRC_5",8,"SCAL",0.594707442809903,0.0512526533245968,34,986770926.590776,736519454.445691,0
"storage_low_JRC_5",8,"EHVI",0.656533047244414,0.0352630088261038,16,982694802.146894,761283469.248137,0
"storage_low_JRC_5",8,"EPI",0.634864801034799,0.040552619786358,10,992899345.971015,723257969.870908,0
"storage_low_JRC_5",9,"TS",0.661878872928063,0.0296364252161296,26,981744694.921933,744892268.679059,0
"storage_low_JRC_5",9,"SCAL",0.680247337787129,0.0112962804144222,30,986461430.329504,837712163.079185,0
"storage_low_JRC_5",9,"EHVI",0.669366392241028,0.0199579691848545,16,1001525347.03456,841628904.809238,0
"storage_low_JRC_5",9,"EPI",0.610779057808428,0.0521756190597914,19,981095543.51354,742991659.843336,0
"storage_low_JRC_5",10,"TS",0.608696461984383,0.0435045203583454,12,983937750.347844,742223653.818252,0
"storage_low_JRC_5",10,"SCAL",0.599108519436003,0.0507206600679192,54,982585331.207514,762259289.018862,0
"storage_low_JRC_5",10,"EHVI",0.583208418177494,0.056552410589408,38,981343504.540203,742223653.818252,0
"storage_low_JRC_5",10,"EPI",0.591730253991365,0.0529270336624519,11,983937750.347844,742223653.818252,0
"storage_high_JRC_35",1,"TS",0.58084935178065,0.0630340042729551,46,1340192390.37163,686520641.993336,0
"storage_high_JRC_35",1,"SCAL",0.564951198580663,0.0683516993220564,48,1325625532.04312,752581342.547672,0
"storage_high_JRC_35",1,"EHVI",0.546198993054544,0.0716999636469693,14,1323067407.43043,708449379.008347,0
"storage_high_JRC_35",1,"EPI",0.643142852446114,0.0405320290972819,15,1324789666.65803,746156639.392763,0
"storage_high_JRC_35",2,"TS",0.5632406169979,0.064461468935245,46,1322722867.18818,710722176.985894,0
"storage_high_JRC_35",2,"SCAL",0.609649908472565,0.0458874128944785,35,1325040968.90814,781940501.422216,0
"storage_high_JRC_35",2,"EHVI",0.58465916722922,0.0597765472649137,46,1325843042.09752,745218692.654919,0
"storage_high_JRC_35",2,"EPI",0.633596670653869,0.0395242083034084,11,1325843042.09752,730113362.114074,0
"storage_high_JRC_35",3,"TS",0.574274337807927,0.056818608002542,20,1324910340.34858,768819823.336136,0
"storage_high_JRC_35",3,"SCAL",0.630579341378084,0.0319124533921022,25,1328473494.53573,833949418.666173,0
"storage_high_JRC_35",3,"EHVI",0.627853909031785,0.0539482689670367,23,1323062935.86781,778442761.85845,0
"storage_high_JRC_35",3,"EPI",0.587924900548248,0.0568064217999544,14,1328161480.11605,723179514.294899,0
"storage_high_JRC_35",4,"TS",0.590680088510506,0.0585821433926008,27,1332787588.28673,712680498.078651,0
"storage_high_JRC_35",4,"SCAL",0.687263909579833,0.0113642944265491,18,1325383302.85004,803412879.036328,0
"storage_high_JRC_35",4,"EHVI",0.625340503821786,0.0347392622010078,29,1325117359.33442,817983513.908264,0
"storage_high_JRC_35",4,"EPI",0.614191247572563,0.045589290127295,15,1325666102.2447,718170293.177989,0
"storage_high_JRC_35",5,"TS",0.598279392071556,0.0489590976890641,14,1323322041.26101,765074456.51798,0
"storage_high_JRC_35",5,"SCAL",0.640022701526467,0.0283087987671844,30,1327091465.09394,813502674.443543,0
"storage_high_JRC_35",5,"EHVI",0.586631802468718,0.0563476488646628,33,1323440545.82957,748083777.399606,0
"storage_high_JRC_35",5,"EPI",0.586107672799724,0.0548482956982173,14,1322561267.60007,783672554.765925,0
"storage_high_JRC_35",6,"TS",0.578949937940012,0.0617472683961109,34,1331697884.44145,723619608.200371,0
"storage_high_JRC_35",6,"SCAL",0.605421561477063,0.046297176225691,38,1329274066.81278,772796339.167385,0
"storage_high_JRC_35",6,"EHVI",0.589047569662447,0.0575434222935371,20,1325304202.86865,732815260.93984,0
"storage_high_JRC_35",6,"EPI",0.639594523180097,0.0464756332840782,18,1322415651.70074,828029312.557895,0
"storage_high_JRC_35",7,"TS",0.573850357564981,0.0568849977174813,37,1325480968.14486,740610689.750965,0
"storage_high_JRC_35",7,"SCAL",0.564116103419747,0.0757597926174395,43,1325236450.36644,728113406.525632,0
"storage_high_JRC_35",7,"EHVI",0.619196173945967,0.0386167333377662,19,1325919062.81859,785917783.908935,0
"storage_high_JRC_35",7,"EPI",0.538807352941225,0.0835064133273694,22,1324872081.28567,740243951.92395,0
"storage_high_JRC_35",8,"TS",0.598355085401847,0.051814969169793,12,1325192294.10896,746111428.025916,0
"storage_high_JRC_35",8,"SCAL",0.594707442809904,0.0512526533245968,34,1330993342.84337,736519454.445691,0
"storage_high_JRC_35",8,"EHVI",0.656533047244414,0.0352630088261038,16,1325495314.52372,761283469.248137,0
"storage_high_JRC_35",8,"EPI",0.634864801034798,0.040552619786358,10,1339259582.93765,723257969.870908,0
"storage_high_JRC_35",9,"TS",0.661878872928063,0.0296364252161296,26,1324213774.54586,744892268.679059,0
"storage_high_JRC_35",9,"SCAL",0.680247337787129,0.0112962804144222,30,1330575882.77003,837712163.079185,0
"storage_high_JRC_35",9,"EHVI",0.669366392241028,0.0199579691848545,16,1350894654.13964,841628904.809238,0
"storage_high_JRC_35",9,"EPI",0.610779057808428,0.0521756190597914,19,1323338174.97175,742991659.843336,0
"storage_high_JRC_35",10,"TS",0.608696461984383,0.0435045203583454,12,1327171849.30639,742223653.818252,0
"storage_high_JRC_35",10,"SCAL",0.599108519436003,0.0507206600679192,54,1325347656.04734,762259289.018862,0
"storage_high_JRC_35",10,"EHVI",0.583208418177494,0.056552410589408,38,1323672634.03097,742223653.818252,0
"storage_high_JRC_35",10,"EPI",0.591730253991365,0.0529270336624519,11,1327171849.30639,742223653.818252,0
